rank	entry_id	cluster	score	channels	content
1	9194	-1	0.028309	fts+vec	Dermatology -  Assessment Tools: Precise testing. 
2	9986	-1	0.016393	fts	25. Simulation models test different mitigation plans. 
3	95	8	0.016393	vec	type=note End-to-end tests are slow because they call ollama for every embedding 
4	9577	-1	0.016129	fts	122.  Immunotherapy strategies are designed to enhance efficacy. 
5	96	8	0.016129	vec	type=error A smoke test flaked because ollama returned different triple extracti 
6	91	8	0.015873	vec	type=decision The smoke test for crib is a bash script, not a Ruby test framewor 
7	9471	-1	0.015873	fts	16.  Targeted therapies are designed to inhibit specific pathways. 
8	9335	-1	0.015625	fts	Dermatology -  Wellness Program Design: Creating. 
9	1379	-1	0.015625	vec	14.  The smoke is typically filtered and used as a decorative element in the fin 
10	9297	-1	0.015385	fts	Dermatology -  Collaboration Systems: Designing. 
