rank	entry_id	cluster	rrf_score	channels	content
1	67	7	0.031778	fts+vec	Rebasing is preferred over merge commits for keeping history linear. Interactive 
2	98	10	0.031319	fts+vec	Log messages are sentences, not codes. stored entry #42 (decision), 3 triples ex 
3	64	7	0.031054	fts+vec	No pre-commit hooks. The test suite runs in CI only. Local commits are fast and  
4	92	10	0.030366	fts+vec	Spill provides three severity levels: info, warn, error. There is no debug level 
5	61	7	0.029877	fts+vec	Each tool repo uses a single main branch with no feature branches. Commits go di 
6	6	1	0.029762	fts+vec	book uses a SQLite task queue rather than Redis or a message broker. Keeps the d 
7	65	7	0.029437	fts+vec	Git tags are not used for versioning. Tools are pinned by commit hash when refer 
8	62	7	0.029412	fts+vec	Commit messages use a tool-name prefix followed by a colon: crib: add consolidat 
9	10	1	0.027598	fts+vec	The system does not use a message bus. Tools communicate through files and pipes 
10	93	10	0.016129	fts	Log entries include the tool name as a structured field, not embedded in the mes 
