rank	entry_id	cluster	score	channels	content
1	97	10	0.030366	fts+vec	Log rotation is manual: when the database exceeds a size threshold, archive the  
2	90	9	0.029514	fts+vec	Posts follow a consistent structure: TL;DR, setup, experiment, results, dead end 
3	67	7	0.027425	fts+vec	Rebasing is preferred over merge commits for keeping history linear. Interactive 
4	5	1	0.016393	vec	trick processes transcripts in reverse chronological order so recent context tak 
5	118	0	0.016393	fts	Tectonic plates move at roughly 2-10 centimeters per year. The Pacific Plate mov 
6	31	4	0.016129	vec	crib uses consolidation-on-write rather than periodic garbage collection. When a 
7	117	0	0.016129	fts	The Tour de France covers approximately 3,500 kilometers over 21 stages in July. 
8	115	0	0.015873	fts	The Atacama Desert in Chile is the driest non-polar desert on Earth. Some weathe 
9	113	0	0.015625	fts	The 2023 Rugby World Cup in France drew record television audiences for the spor 
10	111	0	0.015385	fts	Lake Baikal in Siberia contains roughly 20% of the world unfrozen fresh water. I 
