rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	19	2	0.023218	0.027972	fts+vec	Cosine similarity and L2 distance produce different orderings for the same query 
2	17	2	0.000001	0.028531	fts+vec	The embedding for a 200-word paragraph and the embedding for a 5-word query live 
3	98	10	0.000001	0.016129	vec	Log messages are sentences, not codes. stored entry #42 (decision), 3 triples ex 
4	93	10	0.000000	0.028992	fts+vec	Log entries include the tool name as a structured field, not embedded in the mes 
5	16	2	0.000000	0.028125	fts+vec	nomic-embed-text is trained for search rather than classification. Its vectors c 
6	25	3	0.000000	0.027242	fts+vec	Prompt templates should avoid negation. Do not classify X as Y is less reliable  
7	29	3	0.000000	0.025992	fts+vec	System prompts are less effective than user prompts for gemma3 1b. Moving instru 
8	13	2	0.000000	0.016393	vec	Chose nomic-embed-text over mxbai-embed-large because it runs under 100ms per em 
9	114	0	0.000000	0.016393	fts	Barometric pressure drops of more than 24 millibars in 24 hours indicate a bomb  
10	112	0	0.000000	0.016129	fts	Bread flour has higher protein content than all-purpose flour, typically 12-14%  
11	109	0	0.000000	0.015873	fts	Cricket test matches can last five days and still end in a draw. The format rewa 
12	107	0	0.000000	0.015625	fts	The Danube flows through ten countries, more than any other river in the world.  
13	89	9	0.000000	0.015385	vec	Writing should prefer active voice and concrete nouns. The model classified the  
14	105	0	0.000000	0.015385	fts	The jet stream position determines winter severity in the Pacific Northwest. A n 
15	99	10	0.000000	0.015152	fts	When crib logs a retrieval, it records which channels returned results but not t 
16	11	2	0.000000	0.014925	vec	nomic-embed-text produces 768-dimensional float vectors. At default ollama setti 
17	96	10	0.000000	0.014925	fts	Observability in this system means reading the spill database after the fact. Th 
18	23	3	0.000000	0.014706	vec	Zero-shot classification with gemma3 1b fails on edge cases. The model needs at  
19	85	9	0.000000	0.014493	fts	The tone avoids hedging language: perhaps, might, it seems like. If the claim is 
20	27	3	0.000000	0.014493	vec	Temperature 0.0 does not guarantee deterministic output from gemma3 1b. Across 1 
